Folio,Line,Book,Chapter,Lemma,Number,Case,Form,Morph,Pos,Rel,New Stemtype,
112v,12,1,19,ѥлень,Singular,Genitive,е҅лен҄и,-s---mg--i,Nb,atr,analogical,
112v,27,1,19,ѥлень,Singular,Genitive,ѥ҅лене,-s---mg--i,Nb,atr,etymological,
064v,17,1,9,брѣмѧ,Singular,Instrumental,брѣменемъ,-s---ni--i,Nb,obl,ambiguous,
211r,25,3,36,дьнь,Singular,Instrumental,дь҆немъ,-s---mi--i,Nb,adv,ambiguous,
005v,23,1,1,имѧ,Singular,Instrumental,и҅менемь,-s---ni--i,Nb,atr,ambiguous,
008r,21,1,2,имѧ,Singular,Instrumental,и҅менемь,-s---ni--i,Nb,atr,ambiguous,
012v,29,1,3,имѧ,Singular,Instrumental,именемь,-s---ni--i,Nb,atr,ambiguous,
023r,29,1,3,имѧ,Singular,Instrumental,и҅менемь,-s---ni--i,Nb,atr,ambiguous,
023v,6,1,3,имѧ,Singular,Instrumental,и҅менемь,-s---ni--i,Nb,atr,ambiguous,
031v,26,1,4,имѧ,Singular,Instrumental,именемь҆,-s---ni--i,Nb,atr,ambiguous,
041v,10,1,5,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,atr,ambiguous,
042r,2,1,5,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,atr,ambiguous,
068r,26,1,9,имѧ,Singular,Instrumental,и҅менемъ,-s---ni--i,Nb,atr,ambiguous,
068r,27,1,9,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,atr,ambiguous,
074r,8,1,11,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,atr,ambiguous,
074r,10,1,11,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,atr,ambiguous,
076r,26,1,11,имѧ,Singular,Instrumental,и҅менемъ,-s---ni--i,Nb,atr,ambiguous,
077r,21,1,11,имѧ,Singular,Instrumental,и҅менемъ,-s---ni--i,Nb,atr,ambiguous,
096r,4,1,16,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,atr,ambiguous,
099r,1,1,16,имѧ,Singular,Instrumental,и҅менемь,-s---ni--i,Nb,atr,ambiguous,
099r,17,1,16,имѧ,Singular,Instrumental,и҅менемь,-s---ni--i,Nb,atr,ambiguous,
100v,3,1,16,имѧ,Singular,Instrumental,и҅менемъ,-s---ni--i,Nb,atr,ambiguous,
